MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
201607,S12000049,,18plus,d,Health and Social Care Reasons,,1753,57
201607,S12000049,,18plus,d,Patient and Family Related Reasons,,124,4
201607,S12000049,,18plus,d,Code 9 AWI,,559,18
201607,S12000049,,18plus,d,Code 9 Non-AWI,,310,10
201607,S12000049,,18-74,,All Delay Reasons,d,1497,48
201607,S12000049,,18-74,,Health and Social Care Reasons,,807,26
201607,S12000049,,18-74,,Patient and Family Related Reasons,,37,1
201607,S12000049,,18-74,,Code 9 AWI,,374,12
201607,S12000049,,18-74,,Code 9 Non-AWI,,279,9
201607,S12000049,,75plus,,All Delay Reasons,d,1249,40
201607,S12000049,,75plus,,Health and Social Care Reasons,,946,31
201607,S12000049,,75plus,,Patient and Family Related Reasons,,87,3
201607,S12000049,,75plus,,Code 9 AWI,,185,6
201607,S12000049,,75plus,,Code 9 Non-AWI,,31,1
201607,S12000050,,18plus,d,All Delay Reasons,d,3279,106
201607,S12000050,,18plus,d,Health and Social Care Reasons,,2600,84
201607,S12000050,,18plus,d,Patient and Family Related Reasons,,263,8
201607,S12000050,,18plus,d,Code 9 AWI,,279,9
201607,S12000050,,18plus,d,Code 9 Non-AWI,,137,4
201607,S12000050,,18-74,,All Delay Reasons,d,1152,37
201607,S12000050,,18-74,,Health and Social Care Reasons,,854,28
201607,S12000050,,18-74,,Patient and Family Related Reasons,,0,0
201607,S12000050,,18-74,,Code 9 AWI,,186,6
201607,S12000050,,18-74,,Code 9 Non-AWI,,112,4
201607,S12000050,,75plus,,All Delay Reasons,d,2127,69
201607,S12000050,,75plus,,Health and Social Care Reasons,,1746,56
201607,S12000050,,75plus,,Patient and Family Related Reasons,,263,8
201607,S12000050,,75plus,,Code 9 AWI,,93,3
201607,S12000050,,75plus,,Code 9 Non-AWI,,25,1
201607,,:,18plus,d,All Delay Reasons,d,0,0
201607,,:,18plus,d,Health and Social Care Reasons,,0,0
201607,,:,18plus,d,Patient and Family Related Reasons,,0,0
201607,,:,18plus,d,Code 9 AWI,,0,0
201607,,:,18plus,d,Code 9 Non-AWI,,0,0
201607,,:,18-74,,All Delay Reasons,d,0,0
201607,,:,18-74,,Health and Social Care Reasons,,0,0
201607,,:,18-74,,Patient and Family Related Reasons,,0,0
201607,,:,18-74,,Code 9 AWI,,0,0
201607,,:,18-74,,Code 9 Non-AWI,,0,0
201607,,:,75plus,,All Delay Reasons,d,0,0
201607,,:,75plus,,Health and Social Care Reasons,,0,0
201607,,:,75plus,,Patient and Family Related Reasons,,0,0
201607,,:,75plus,,Code 9 AWI,,0,0
201607,,:,75plus,,Code 9 Non-AWI,,0,0
201607,S92000003,d,18plus,d,All Delay Reasons,d,43919,1417
201607,S92000003,d,18plus,d,Health and Social Care Reasons,,32713,1055
201607,S92000003,d,18plus,d,Patient and Family Related Reasons,,1877,61
201607,S92000003,d,18plus,d,Code 9 AWI,,5990,193
201607,S92000003,d,18plus,d,Code 9 Non-AWI,,3339,108
201607,S92000003,d,18-74,,All Delay Reasons,d,13145,424
201607,S92000003,d,18-74,,Health and Social Care Reasons,,9114,294
201607,S92000003,d,18-74,,Patient and Family Related Reasons,,214,7
201607,S92000003,d,18-74,,Code 9 AWI,,1761,57
201607,S92000003,d,18-74,,Code 9 Non-AWI,,2056,66
201607,S92000003,d,75plus,,All Delay Reasons,d,30774,993
201607,S92000003,d,75plus,,Health and Social Care Reasons,,23599,761
201607,S92000003,d,75plus,,Patient and Family Related Reasons,,1663,54
201607,S92000003,d,75plus,,Code 9 AWI,,4229,136
201607,S92000003,d,75plus,,Code 9 Non-AWI,,1283,41
201608,S12000005,,18plus,d,All Delay Reasons,d,400,13
201608,S12000005,,18plus,d,Health and Social Care Reasons,,254,8
201608,S12000005,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000005,,18plus,d,Code 9 AWI,,62,2
201608,S12000005,,18plus,d,Code 9 Non-AWI,,84,3
201608,S12000005,,18-74,,All Delay Reasons,d,91,3
201608,S12000005,,18-74,,Health and Social Care Reasons,,7,0
201608,S12000005,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000005,,18-74,,Code 9 AWI,,0,0
201608,S12000005,,18-74,,Code 9 Non-AWI,,84,3
201608,S12000005,,75plus,,All Delay Reasons,d,309,10
201608,S12000005,,75plus,,Health and Social Care Reasons,,247,8
201608,S12000005,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000005,,75plus,,Code 9 AWI,,62,2
201608,S12000005,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000006,,18plus,d,All Delay Reasons,d,929,30
201608,S12000006,,18plus,d,Health and Social Care Reasons,,665,21
201608,S12000006,,18plus,d,Patient and Family Related Reasons,,13,0
201608,S12000006,,18plus,d,Code 9 AWI,,251,8
201608,S12000006,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000006,,18-74,,All Delay Reasons,d,204,7
201608,S12000006,,18-74,,Health and Social Care Reasons,,154,5
201608,S12000006,,18-74,,Patient and Family Related Reasons,,13,0
201608,S12000006,,18-74,,Code 9 AWI,,37,1
201608,S12000006,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000006,,75plus,,All Delay Reasons,d,725,23
201608,S12000006,,75plus,,Health and Social Care Reasons,,511,16
201608,S12000006,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000006,,75plus,,Code 9 AWI,,214,7
201608,S12000006,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000008,,18plus,d,All Delay Reasons,d,537,17
201608,S12000008,,18plus,d,Health and Social Care Reasons,,118,4
201608,S12000008,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000008,,18plus,d,Code 9 AWI,,195,6
201608,S12000008,,18plus,d,Code 9 Non-AWI,,224,7
201608,S12000008,,18-74,,All Delay Reasons,d,109,4
201608,S12000008,,18-74,,Health and Social Care Reasons,,24,1
201608,S12000008,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000008,,18-74,,Code 9 AWI,,31,1
201608,S12000008,,18-74,,Code 9 Non-AWI,,54,2
201608,S12000008,,75plus,,All Delay Reasons,d,428,14
201608,S12000008,,75plus,,Health and Social Care Reasons,,94,3
201608,S12000008,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000008,,75plus,,Code 9 AWI,,164,5
201608,S12000008,,75plus,,Code 9 Non-AWI,,170,5
201608,S12000010,,18plus,d,All Delay Reasons,d,1625,52
201608,S12000010,,18plus,d,Health and Social Care Reasons,,1532,49
201608,S12000010,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000010,,18plus,d,Code 9 AWI,,62,2
201608,S12000010,,18plus,d,Code 9 Non-AWI,,31,1
201608,S12000010,,18-74,,All Delay Reasons,d,477,15
201608,S12000010,,18-74,,Health and Social Care Reasons,,415,13
201608,S12000010,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000010,,18-74,,Code 9 AWI,,31,1
201608,S12000010,,18-74,,Code 9 Non-AWI,,31,1
201608,S12000010,,75plus,,All Delay Reasons,d,1148,37
201608,S12000010,,75plus,,Health and Social Care Reasons,,1117,36
201608,S12000010,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000010,,75plus,,Code 9 AWI,,31,1
201608,S12000010,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000011,,18plus,d,All Delay Reasons,d,143,5
201608,S12000011,,18plus,d,Health and Social Care Reasons,,99,3
201608,S12000011,,18plus,d,Patient and Family Related Reasons,,13,0
201608,S12000011,,18plus,d,Code 9 AWI,,31,1
201608,S12000011,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000011,,18-74,,All Delay Reasons,d,8,0
201608,S12000011,,18-74,,Health and Social Care Reasons,,8,0
201608,S12000011,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000011,,18-74,,Code 9 AWI,,0,0
201608,S12000011,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000011,,75plus,,All Delay Reasons,d,135,4
201608,S12000011,,75plus,,Health and Social Care Reasons,,91,3
201608,S12000011,,75plus,,Patient and Family Related Reasons,,13,0
201608,S12000011,,75plus,,Code 9 AWI,,31,1
201608,S12000011,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000013,,18plus,d,All Delay Reasons,d,904,29
201608,S12000013,,18plus,d,Health and Social Care Reasons,,283,9
201608,S12000013,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000013,,18plus,d,Code 9 AWI,,120,4
201608,S12000013,,18plus,d,Code 9 Non-AWI,,501,16
201608,S12000013,,18-74,,All Delay Reasons,d,192,6
201608,S12000013,,18-74,,Health and Social Care Reasons,,134,4
201608,S12000013,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000013,,18-74,,Code 9 AWI,,58,2
201608,S12000013,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000013,,75plus,,All Delay Reasons,d,712,23
201608,S12000013,,75plus,,Health and Social Care Reasons,,149,5
201608,S12000013,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000013,,75plus,,Code 9 AWI,,62,2
201608,S12000013,,75plus,,Code 9 Non-AWI,,501,16
201608,S12000014,,18plus,d,All Delay Reasons,d,1848,60
201608,S12000014,,18plus,d,Health and Social Care Reasons,,1446,47
201608,S12000014,,18plus,d,Patient and Family Related Reasons,,118,4
201608,S12000014,,18plus,d,Code 9 AWI,,190,6
201608,S12000014,,18plus,d,Code 9 Non-AWI,,94,3
201608,S12000014,,18-74,,All Delay Reasons,d,636,21
201608,S12000014,,18-74,,Health and Social Care Reasons,,504,16
201608,S12000014,,18-74,,Patient and Family Related Reasons,,31,1
201608,S12000014,,18-74,,Code 9 AWI,,19,1
201608,S12000014,,18-74,,Code 9 Non-AWI,,82,3
201608,S12000014,,75plus,,All Delay Reasons,d,1212,39
201608,S12000014,,75plus,,Health and Social Care Reasons,,942,30
201608,S12000014,,75plus,,Patient and Family Related Reasons,,87,3
201608,S12000014,,75plus,,Code 9 AWI,,171,6
201608,S12000014,,75plus,,Code 9 Non-AWI,,12,0
201608,S12000017,,18plus,d,All Delay Reasons,d,3687,119
201608,S12000017,,18plus,d,Health and Social Care Reasons,,1940,63
201608,S12000017,,18plus,d,Patient and Family Related Reasons,,378,12
201608,S12000017,,18plus,d,Code 9 AWI,,530,17
201608,S12000017,,18plus,d,Code 9 Non-AWI,,839,27
201608,S12000017,,18-74,,All Delay Reasons,d,758,24
201608,S12000017,,18-74,,Health and Social Care Reasons,,268,9
201608,S12000017,,18-74,,Patient and Family Related Reasons,,61,2
201608,S12000017,,18-74,,Code 9 AWI,,84,3
201608,S12000017,,18-74,,Code 9 Non-AWI,,345,11
201608,S12000017,,75plus,,All Delay Reasons,d,2929,94
201608,S12000017,,75plus,,Health and Social Care Reasons,,1672,54
201608,S12000017,,75plus,,Patient and Family Related Reasons,,317,10
201608,S12000017,,75plus,,Code 9 AWI,,446,14
201608,S12000017,,75plus,,Code 9 Non-AWI,,494,16
201608,S12000018,,18plus,d,All Delay Reasons,d,280,9
201608,S12000018,,18plus,d,Health and Social Care Reasons,,207,7
201608,S12000018,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000018,,18plus,d,Code 9 AWI,,0,0
201608,S12000018,,18plus,d,Code 9 Non-AWI,,73,2
201608,S12000018,,18-74,,All Delay Reasons,d,75,2
201608,S12000018,,18-74,,Health and Social Care Reasons,,13,0
201608,S12000018,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000018,,18-74,,Code 9 AWI,,0,0
201608,S12000018,,18-74,,Code 9 Non-AWI,,62,2
201608,S12000018,,75plus,,All Delay Reasons,d,205,7
201608,S12000018,,75plus,,Health and Social Care Reasons,,194,6
201608,S12000018,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000018,,75plus,,Code 9 AWI,,0,0
201608,S12000018,,75plus,,Code 9 Non-AWI,,11,0
201608,S12000019,,18plus,d,All Delay Reasons,d,824,27
201608,S12000019,,18plus,d,Health and Social Care Reasons,,622,20
201608,S12000019,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000019,,18plus,d,Code 9 AWI,,131,4
201608,S12000019,,18plus,d,Code 9 Non-AWI,,71,2
201608,S12000019,,18-74,,All Delay Reasons,d,271,9
201608,S12000019,,18-74,,Health and Social Care Reasons,,229,7
201608,S12000019,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000019,,18-74,,Code 9 AWI,,42,1
201608,S12000019,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000019,,75plus,,All Delay Reasons,d,553,18
201608,S12000019,,75plus,,Health and Social Care Reasons,,393,13
201608,S12000019,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000019,,75plus,,Code 9 AWI,,89,3
201608,S12000019,,75plus,,Code 9 Non-AWI,,71,2
201608,S12000020,,18plus,d,All Delay Reasons,d,960,31
201608,S12000020,,18plus,d,Health and Social Care Reasons,,752,24
201608,S12000020,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000020,,18plus,d,Code 9 AWI,,208,7
201608,S12000020,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000020,,18-74,,All Delay Reasons,d,276,9
201608,S12000020,,18-74,,Health and Social Care Reasons,,276,9
201608,S12000020,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000020,,18-74,,Code 9 AWI,,0,0
201608,S12000020,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000020,,75plus,,All Delay Reasons,d,684,22
201608,S12000020,,75plus,,Health and Social Care Reasons,,476,15
201608,S12000020,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000020,,75plus,,Code 9 AWI,,208,7
201608,S12000020,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000021,,18plus,d,All Delay Reasons,d,707,23
201608,S12000021,,18plus,d,Health and Social Care Reasons,,669,22
201608,S12000021,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000021,,18plus,d,Code 9 AWI,,38,1
201608,S12000021,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000021,,18-74,,All Delay Reasons,d,75,2
201608,S12000021,,18-74,,Health and Social Care Reasons,,75,2
201608,S12000021,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000021,,18-74,,Code 9 AWI,,0,0
201608,S12000021,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000021,,75plus,,All Delay Reasons,d,632,20
201608,S12000021,,75plus,,Health and Social Care Reasons,,594,19
201608,S12000021,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000021,,75plus,,Code 9 AWI,,38,1
201608,S12000021,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000023,,18plus,d,All Delay Reasons,d,174,6
201608,S12000023,,18plus,d,Health and Social Care Reasons,,89,3
201608,S12000023,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000023,,18plus,d,Code 9 AWI,,85,3
201608,S12000023,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000023,,18-74,,All Delay Reasons,d,70,2
201608,S12000023,,18-74,,Health and Social Care Reasons,,53,2
201608,S12000023,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000023,,18-74,,Code 9 AWI,,17,1
201608,S12000023,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000023,,75plus,,All Delay Reasons,d,104,3
201608,S12000023,,75plus,,Health and Social Care Reasons,,36,1
201608,S12000023,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000023,,75plus,,Code 9 AWI,,68,2
201608,S12000023,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000026,,18plus,d,All Delay Reasons,d,983,32
201608,S12000026,,18plus,d,Health and Social Care Reasons,,742,24
201608,S12000026,,18plus,d,Patient and Family Related Reasons,,75,2
201608,S12000026,,18plus,d,Code 9 AWI,,90,3
201608,S12000026,,18plus,d,Code 9 Non-AWI,,76,2
201608,S12000026,,18-74,,All Delay Reasons,d,339,11
201608,S12000026,,18-74,,Health and Social Care Reasons,,230,7
201608,S12000026,,18-74,,Patient and Family Related Reasons,,42,1
201608,S12000026,,18-74,,Code 9 AWI,,0,0
201608,S12000026,,18-74,,Code 9 Non-AWI,,67,2
201608,S12000026,,75plus,,All Delay Reasons,d,644,21
201608,S12000026,,75plus,,Health and Social Care Reasons,,512,17
201608,S12000026,,75plus,,Patient and Family Related Reasons,,33,1
201608,S12000026,,75plus,,Code 9 AWI,,90,3
201608,S12000026,,75plus,,Code 9 Non-AWI,,9,0
201608,S12000027,,18plus,d,All Delay Reasons,d,253,8
201608,S12000027,,18plus,d,Health and Social Care Reasons,,253,8
201608,S12000027,,18plus,d,Patient and Family Related Reasons,,0,0
201608,S12000027,,18plus,d,Code 9 AWI,,0,0
201608,S12000027,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000027,,18-74,,All Delay Reasons,d,46,1
201608,S12000027,,18-74,,Health and Social Care Reasons,,46,1
201608,S12000027,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000027,,18-74,,Code 9 AWI,,0,0
201608,S12000027,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000027,,75plus,,All Delay Reasons,d,207,7
201608,S12000027,,75plus,,Health and Social Care Reasons,,207,7
201608,S12000027,,75plus,,Patient and Family Related Reasons,,0,0
201608,S12000027,,75plus,,Code 9 AWI,,0,0
201608,S12000027,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000028,,18plus,d,All Delay Reasons,d,1782,57
201608,S12000028,,18plus,d,Health and Social Care Reasons,,1521,49
201608,S12000028,,18plus,d,Patient and Family Related Reasons,,44,1
201608,S12000028,,18plus,d,Code 9 AWI,,217,7
201608,S12000028,,18plus,d,Code 9 Non-AWI,,0,0
201608,S12000028,,18-74,,All Delay Reasons,d,228,7
201608,S12000028,,18-74,,Health and Social Care Reasons,,166,5
201608,S12000028,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000028,,18-74,,Code 9 AWI,,62,2
201608,S12000028,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000028,,75plus,,All Delay Reasons,d,1554,50
201608,S12000028,,75plus,,Health and Social Care Reasons,,1355,44
201608,S12000028,,75plus,,Patient and Family Related Reasons,,44,1
201608,S12000028,,75plus,,Code 9 AWI,,155,5
201608,S12000028,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000029,,18plus,d,All Delay Reasons,d,3505,113
201608,S12000029,,18plus,d,Health and Social Care Reasons,,2792,90
201608,S12000029,,18plus,d,Patient and Family Related Reasons,,138,4
201608,S12000029,,18plus,d,Code 9 AWI,,446,14
201608,S12000029,,18plus,d,Code 9 Non-AWI,,129,4
201608,S12000029,,18-74,,All Delay Reasons,d,781,25
201608,S12000029,,18-74,,Health and Social Care Reasons,,583,19
201608,S12000029,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000029,,18-74,,Code 9 AWI,,167,5
201608,S12000029,,18-74,,Code 9 Non-AWI,,31,1
201608,S12000029,,75plus,,All Delay Reasons,d,2724,88
201608,S12000029,,75plus,,Health and Social Care Reasons,,2209,71
201608,S12000029,,75plus,,Patient and Family Related Reasons,,138,4
201608,S12000029,,75plus,,Code 9 AWI,,279,9
201608,S12000029,,75plus,,Code 9 Non-AWI,,98,3
201608,S12000030,,18plus,d,All Delay Reasons,d,699,23
201608,S12000030,,18plus,d,Health and Social Care Reasons,,448,14
201608,S12000030,,18plus,d,Patient and Family Related Reasons,,7,0
201608,S12000030,,18plus,d,Code 9 AWI,,125,4
201608,S12000030,,18plus,d,Code 9 Non-AWI,,119,4
201608,S12000030,,18-74,,All Delay Reasons,d,265,9
201608,S12000030,,18-74,,Health and Social Care Reasons,,115,4
201608,S12000030,,18-74,,Patient and Family Related Reasons,,0,0
201608,S12000030,,18-74,,Code 9 AWI,,31,1
201608,S12000030,,18-74,,Code 9 Non-AWI,,119,4
201608,S12000030,,75plus,,All Delay Reasons,d,434,14
201608,S12000030,,75plus,,Health and Social Care Reasons,,333,11
201608,S12000030,,75plus,,Patient and Family Related Reasons,,7,0
201608,S12000030,,75plus,,Code 9 AWI,,94,3
201608,S12000030,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000033,,18plus,d,All Delay Reasons,d,2523,81
201608,S12000033,,18plus,d,Health and Social Care Reasons,,2059,66
201608,S12000033,,18plus,d,Patient and Family Related Reasons,,118,4
201608,S12000033,,18plus,d,Code 9 AWI,,222,7
201608,S12000033,,18plus,d,Code 9 Non-AWI,,124,4
201608,S12000033,,18-74,,All Delay Reasons,d,849,27
201608,S12000033,,18-74,,Health and Social Care Reasons,,586,19
201608,S12000033,,18-74,,Patient and Family Related Reasons,,28,1
201608,S12000033,,18-74,,Code 9 AWI,,111,4
201608,S12000033,,18-74,,Code 9 Non-AWI,,124,4
201608,S12000033,,75plus,,All Delay Reasons,d,1674,54
201608,S12000033,,75plus,,Health and Social Care Reasons,,1473,48
201608,S12000033,,75plus,,Patient and Family Related Reasons,,90,3
201608,S12000033,,75plus,,Code 9 AWI,,111,4
201608,S12000033,,75plus,,Code 9 Non-AWI,,0,0
201608,S12000034,,18plus,d,All Delay Reasons,d,1460,47
201608,S12000034,,18plus,d,Health and Social Care Reasons,,973,31
201608,S12000034,,18plus,d,Patient and Family Related Reasons,,109,4
201608,S12000034,,18plus,d,Code 9 AWI,,245,8
201608,S12000034,,18plus,d,Code 9 Non-AWI,,133,4
201608,S12000034,,18-74,,All Delay Reasons,d,407,13
201608,S12000034,,18-74,,Health and Social Care Reasons,,249,8
201608,S12000034,,18-74,,Patient and Family Related Reasons,,25,1
201608,S12000034,,18-74,,Code 9 AWI,,62,2
201608,S12000034,,18-74,,Code 9 Non-AWI,,71,2
201608,S12000034,,75plus,,All Delay Reasons,d,1053,34
201608,S12000034,,75plus,,Health and Social Care Reasons,,724,23
201608,S12000034,,75plus,,Patient and Family Related Reasons,,84,3
201608,S12000034,,75plus,,Code 9 AWI,,183,6
201608,S12000034,,75plus,,Code 9 Non-AWI,,62,2
201608,S12000035,,18plus,d,All Delay Reasons,d,693,22
201608,S12000035,,18plus,d,Health and Social Care Reasons,,495,16
201608,S12000035,,18plus,d,Patient and Family Related Reasons,,132,4
201608,S12000035,,18plus,d,Code 9 AWI,,60,2
201608,S12000035,,18plus,d,Code 9 Non-AWI,,6,0
201608,S12000035,,18-74,,All Delay Reasons,d,131,4
201608,S12000035,,18-74,,Health and Social Care Reasons,,81,3
201608,S12000035,,18-74,,Patient and Family Related Reasons,,50,2
201608,S12000035,,18-74,,Code 9 AWI,,0,0
201608,S12000035,,18-74,,Code 9 Non-AWI,,0,0
201608,S12000035,,75plus,,All Delay Reasons,d,562,18
